Occurences,Mass,SD,Time,SD,Intensity,SD,S/N,SD,Quality Factor,SD,Resolution,SD,Area,SD,Relative Intensity,SD,FWHM,SD,Shi^2,SD,Background Peak
4,2035.113,0.830160627027575,1306.089,0.830160627027527,40741.215,0.830160627026835,3.77,0.830160627027485,0,0,128.65,0.830160627027485,13027.354,0.830160627027647,0.117,0.830160627027485,15.903,0.830160627027486,0,0,0,0
4,2354.105,0.83016062702754,1078.561,0.830160627027415,43767.565,0.830160627026835,3.196,0.830160627027485,0,0,91.648,0.830160627027487,27323.346,0.830160627028935,0.11,0.830160627027485,25.782,0.830160627027483,0,0,0,0
4,2851.804,0.830160627027444,2309.289,0.830160627027444,48103.905,0.830160627025739,6.739,0.830160627027485,0,0,410.626,0.830160627027502,32445.662,0.830160627028935,0.149,0.830160627027485,7.021,0.830160627027485,0,0,0,0
4,3437.064,0.830160627027444,1082.589,0.830160627027527,52741.305,0.830160627028368,3.16,0.830160627027485,0,0,378.556,0.830160627027462,18931.136,0.830160627028935,0.11,0.830160627027485,9.156,0.830160627027485,0,0,0,0
4,3483.926,0.83016062702754,2139.475,0.83016062702754,53094.805,0.830160627028368,6.171,0.830160627027485,0,0,361.277,0.830160627027462,37382.135,0.830160627026835,0.144,0.830160627027485,9.72,0.830160627027485,0,0,0,0
4,4113.525,0.830160627027766,1023.946,0.830160627027603,57630.675,0.830160627026835,3.085,0.830160627027485,0,0,120.571,0.830160627027487,35453.875,0.830160627025739,0.108,0.830160627027485,34.213,0.830160627027484,0,0,0,0
4,4445.29,0.830160627027122,1288.661,0.830160627027415,59880.435,0.830160627026835,3.929,0.830160627027485,0,0,438.428,0.830160627027502,27040.559,0.83016062702636,0.116,0.830160627027485,10.216,0.830160627027485,0,0,0,0
4,4750.472,0.830160627027766,1744.161,0.830160627027415,61876.505,0.830160627026835,5.37,0.830160627027485,0,0,362.04,0.830160627027502,43336.305,0.830160627028368,0.131,0.830160627027485,13.199,0.830160627027485,0,0,0,0
4,4963.903,0.830160627027314,31062.689,0.830160627028935,63234.395,0.830160627026835,94.38,0.83016062702749,0,0,94.317,0.83016062702748,1547331.196,0.830160627099471,1.075,0.830160627027485,52.746,0.830160627027485,0,0,0,0
4,5005.226,0.830160627027122,22586.604,0.830160627028168,63493.885,0.830160627026835,68.647,0.83016062702749,0,0,87.36,0.83016062702749,1547331.196,0.830160627099471,0.802,0.830160627027485,57.418,0.830160627027485,0,0,0,0
4,5173.419,0.830160627027766,4323.575,0.830160627027122,64539.125,0.830160627025739,13.483,0.830160627027485,0,0,327.037,0.830160627027462,197139.032,0.830160627034467,0.214,0.830160627027485,15.897,0.830160627027486,0,0,0,0
4,5268.547,0.830160627027122,1270.432,0.830160627027575,65122.745,0.830160627026835,4.015,0.830160627027485,0,0,456.183,0.830160627027502,28084.256,0.83016062702636,0.116,0.830160627027485,11.626,0.830160627027485,0,0,0,0
4,5489.299,0.830160627027122,2811.532,0.830160627027444,66456.985,0.830160627021686,8.759,0.830160627027484,0,0,437.606,0.830160627027502,50938.899,0.830160627026835,0.166,0.830160627027485,12.621,0.830160627027485,0,0,0,0
4,6178.819,0.830160627027766,931.561,0.830160627027495,70459.245,0.830160627031984,3.09,0.830160627027485,0,0,461.072,0.830160627027502,25178.524,0.830160627028935,0.105,0.830160627027485,13.478,0.830160627027485,0,0,0,0
4,6652.432,0.830160627027122,1006.846,0.830160627027512,73079.305,0.830160627031984,3.501,0.830160627027485,0,0,488.858,0.830160627027462,29049.965,0.830160627028935,0.107,0.830160627027485,13.685,0.830160627027485,0,0,0,0
4,6719.002,0.830160627027122,2724.104,0.830160627027444,73439.945,0.830160627021686,9.344,0.830160627027485,0,0,426.489,0.830160627027462,84340.576,0.830160627031984,0.163,0.830160627027485,15.832,0.830160627027485,0,0,0,0
4,6846.951,0.830160627027122,925.246,0.830160627027495,74128.105,0.830160627021686,3.238,0.830160627027485,0,0,304.611,0.830160627027502,44076.327,0.830160627026835,0.105,0.830160627027485,22.558,0.830160627027486,0,0,0,0
4,7535.516,0.830160627027766,9255.204,0.830160627027647,77725.145,0.830160627024753,34.577,0.830160627027485,0,0,343.327,0.830160627027502,455226.659,0.830160627038411,0.373,0.830160627027485,22.028,0.830160627027486,0,0,0,0
4,7723.191,0.830160627027122,3519.661,0.830160627027444,78676.545,0.830160627021686,13.291,0.830160627027485,0,0,407.489,0.830160627027462,166917.33,0.830160627030085,0.188,0.830160627027485,19.031,0.830160627027486,0,0,0,0
4,7841.663,0.830160627027122,1191.746,0.830160627027415,79271.155,0.830160627031984,4.55,0.830160627027485,0,0,438.163,0.830160627027474,39383.706,0.830160627028368,0.113,0.830160627027485,17.975,0.830160627027483,0,0,0,0
4,8347.735,0.830160627027647,735.204,0.830160627027495,81761.565,0.830160627024753,3.1,0.830160627027485,0,0,170.246,0.830160627027482,55476.85,0.830160627028368,0.099,0.830160627027485,49.13,0.830160627027485,0,0,0,0
4,8451.187,0.830160627027264,1252.146,0.830160627027527,82261.215,0.830160627031984,5.227,0.830160627027485,0,0,418.607,0.830160627027502,49267.739,0.830160627026835,0.115,0.830160627027485,20.267,0.830160627027483,0,0,0,0
4,8564.05,0.830160627027647,2658.918,0.830160627027444,82802.815,0.830160627024753,11.834,0.830160627027484,0,0,470.899,0.830160627027502,95930.561,0.830160627024753,0.161,0.830160627027485,18.264,0.830160627027483,0,0,0,0
4,8934.323,0.830160627027921,999.389,0.830160627027471,84554.885,0.830160627021686,4.617,0.830160627027485,0,0,158.943,0.830160627027482,39946.617,0.830160627025739,0.107,0.830160627027485,56.312,0.830160627027485,0,0,0,0
4,9962.015,0.830160627027647,1409.261,0.830160627027527,89234.595,0.830160627031984,7.973,0.830160627027485,0,0,153.358,0.830160627027482,106346.944,0.830160627024753,0.12,0.830160627027485,65.065,0.830160627027484,0,0,0,0
4,10266.013,0.830160627027647,529.246,0.830160627027495,90571.735,0.830160627021686,3.087,0.830160627027485,0,0,279.879,0.830160627027462,19534.026,0.830160627028935,0.092,0.830160627027485,36.765,0.830160627027487,0,0,0,0
4,12132.657,0.830160627027647,945.989,0.830160627027512,98377.765,0.830160627021686,7.03,0.830160627027485,0,0,570.788,0.830160627027512,42642.965,0.830160627026835,0.105,0.830160627027485,21.334,0.830160627027483,0,0,0,0
4,14133.272,0.830160627027647,479.504,0.830160627027462,106097.355,0.830160627021686,5.767,0.830160627027485,0,0,75.537,0.83016062702748,131500.891,0.830160627034467,0.09,0.830160627027485,187.364,0.830160627027482,0,0,0,0
4,15190.124,0.830160627027647,422.532,0.830160627027462,109952.785,0.830160627024753,6.372,0.830160627027485,0,0,273.629,0.830160627027462,40243.408,0.830160627026835,0.089,0.830160627027485,55.604,0.830160627027485,0,0,0,0
4,15434.162,0.830160627027921,197.646,0.830160627027482,110823.625,0.830160627031984,3.373,0.830160627027485,0,0,412.23,0.830160627027462,15737.22,0.830160627027647,0.081,0.830160627027485,37.522,0.830160627027485,0,0,0,0
4,21917.145,0.830160627028935,309.132,0.830160627027462,131831.095,0.83016062702395,18.435,0.830160627027483,0,0,906.034,0.830160627027471,14756.224,0.830160627027264,0.085,0.830160627027485,24.267,0.830160627027483,0,0,0,0
